GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,GB_Kadar_Air_Mean,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Kemas_Pct_Teoritis,Total_Waste_Kg,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Defect_Overall,Material_Description,Cluster,Cluster_Label,PCA1,PCA2
455.4,329.9,0.7244180939833114,4.626666666666666,766.0,0.9575,0.955956,0.0,1.0,3.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9932383856957078,0.13431544667783762
467.17,330.0,0.7063809748057452,4.5233333333333325,777.0,0.97125,0.971528,0.0,3.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9098049948816874,0.2610567872925437
462.0,330.2,0.7147186147186146,4.703333333333333,773.0,0.96625,0.965076,0.0,0.0,3.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9443305371342096,0.1944471969884593
465.3,330.3,0.7098646034816247,4.55,775.0,0.96875,0.965168,0.0,1.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9175943204625343,0.20658854022512985
466.2,330.1,0.7080652080652081,4.526666666666666,775.0,0.96875,0.96626,0.0,0.0,2.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9194276442111758,0.1991352091208069
466.93,330.2,0.7071723812991241,4.476666666666667,777.0,0.97125,0.968232,0.0,1.0,0.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8918638056896828,0.22826201940935253
461.2,330.2,0.7159583694709454,4.676666666666667,773.0,0.96625,0.963404,0.0,0.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9280387725765131,0.1906884097171463
464.5,330.2,0.7108719052744886,4.62,775.0,0.96875,0.969784,0.0,0.0,0.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8999889987144766,0.2262188991687265
460.4,330.0,0.7167680278019114,4.580000000000001,771.0,0.96375,0.963548,0.0,1.0,0.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9318320622023514,0.19120974367907073
463.4,330.0,0.7121277514026759,4.636666666666667,776.0,0.97,0.968216,0.0,0.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9049455496604352,0.22384350516949275
469.8,329.92,0.7022562792677736,4.6433333333333335,780.0,0.975,0.97478,0.0,3.0,0.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8889090664605611,0.2921291544197971
466.0,330.2,0.7085836909871245,4.553333333333334,776.0,0.97,0.968588,0.0,0.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9025845690874696,0.21850527996369895
461.9,330.2,0.7148733492097856,4.576666666666667,784.0,0.98,0.99018,0.0,0.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8194977483640759,0.37222952528328557
466.0,330.3,0.7087982832618026,4.726666666666667,779.0,0.97375,0.969276,0.0,1.0,0.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8897125525982704,0.25182194723213114
463.8,330.4,0.7123760241483398,4.623333333333334,786.0,0.9825,0.970052,0.0,0.0,0.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8334009567714777,0.2815595149600837
466.92,330.2,0.7071875267711814,4.543333333333333,781.0,0.97625,0.976484,0.0,1.0,2.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8758876658835897,0.2864824698380219
467.95,330.2,0.7056309434768672,4.663333333333333,782.0,0.9775,0.972344,0.0,0.0,2.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8780218906467768,0.2635454405693296
469.36,330.0,0.7030850519856826,4.57,781.0,0.97625,0.976128,0.0,1.0,0.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8653070798195948,0.28490710352969434
461.7,330.2,0.7151830192765866,4.5633333333333335,774.0,0.9675,0.96708,0.0,0.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9115778906707632,0.20959115282151053
466.6,330.2,0.707672524646378,4.683333333333334,779.0,0.97375,0.970856,0.0,0.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.888986179012899,0.24674435751040802
462.6,330.2,0.7137916126242974,4.683333333333334,773.0,0.96625,0.96422,0.0,1.0,1.0,3.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9345278331963683,0.20106751634128012
463.0,330.3,0.713390928725702,4.673333333333333,773.0,0.96625,0.962324,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9337705840820377,0.26320724359059966
469.7,330.3,0.7032148179689164,4.633333333333333,779.0,0.97375,0.970268,0.0,1.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8987047905386665,0.32670500745613507
